blizzardId;monture;source;extension;patch;Difficulty;statutLocalisation;Mots clés;nombreCandidates;primaryLocationRef;cheminRetenu;candidateRefs;cheminsCandidates
6;Cheval bai;Vendeur;vanilla;1.11.1;Facile;Hurlevent;Cheval humain, monture réputation Hurlevent,  Katie Stokx;0;;;;
7;Loup gris;Vendeur;vanilla;Vanilla;Indisponible;Orgrimmar;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée
8;Étalon blanc;Vendeur;vanilla;Vanilla;Indisponible;Hurlevent;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée
9;Étalon noir;Vendeur;vanilla;1.11.1;Facile;Hurlevent;Cheval humain, monture réputation Hurlevent,  Katie Stokx;0;;;;
11;Pinto;Vendeur;vanilla;1.11.1;Facile;Hurlevent;Cheval humain, monture réputation Hurlevent,  Katie Stokx;0;;;;
12;Loup noir;Vendeur;vanilla;Vanilla;Indisponible;Orgrimmar;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée
13;Loup roux;Vendeur;vanilla;Vanilla;Indisponible;Orgrimmar;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée
14;Loup des bois;Vendeur;vanilla;1.11.1;Facile;Orgrimmar;Loup, monture réputation Orgrimmar,  Ogunaro Mèneloup;0;;;;
15;Loup blanc;Vendeur;vanilla;Vanilla;Indisponible;Orgrimmar;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée
16;Drake balayé par le Vide;Métier;midnight;12.0.0;Facile;Tempête du vide > Perchoir des Maîtres;Pêche, Tempête du Vide, Vortex océanique, Drake du Néant, Œuf déformé par le Vide, Perchoir des Maîtres ;1;wowhead-zone:15958;Azeroth > Royaumes de l'Est > Quel'Thalas > Tempête du Vide > Perchoir des Maîtres;wowhead-zone:16648;Azeroth > Royaumes de l'Est > Quel'Thalas > Tempête du Vide > Perchoir des Maîtres
17;Palefroi corrompu;Classe;vanilla;1.11.1;Facile;Capitales;Cheval Démoniste, Maître de classe, quête;0;multizones (capitales vanilla);;;
18;Jument alezane;Vendeur;vanilla;1.11.1;Facile;Hurlevent;Cheval humain, monture réputation Hurlevent;0;;;;
19;Loup redoutable;Vendeur;vanilla;1.11.1;Facile;Orgrimmar;Loup orc, monture réputation Orgrimmar, Ogunaro Mène-loup;0;;;;
20;Loup brun;Vendeur;vanilla;1.11.1;Facile;Orgrimmar;Loup orc, monture réputation Orgrimmar, Ogunaro Mène-loup;0;;;;
21;Bélier gris;Vendeur;vanilla;1.11.1;Facile;Forgefer;Bélier nain, monture réputation Forgefer,Veron Distillambre;0;;;;
22;Bélier noir;Vendeur;vanilla;Vanilla;Indisponible;Forgefer;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée
24;Bélier blanc;Vendeur;vanilla;1.11.1;Facile;Forgefer;Bélier nain, monture réputation Forgefer,Veron Distillambre;0;;;;
25;Bélier brun;Vendeur;vanilla;1.11.1;Facile;Forgefer;Bélier nain, monture réputation Forgefer,Veron Distillambre;0;;;;
26;Sabre-de-givre rayé;Vendeur;vanilla;1.11.1;Facile;Darnassus;Sabre elfe de la nuit, réputation, Lelanai;0;;;;
27;Raptor émeraude;Vendeur;vanilla;1.11.1;Facile;Durotar;Raptor émeraude, monture réputation, durotar, Zjolnir, Troll sombrelance;0;;;;
28;Cheval squelette;à définir;vanilla;Vanilla;Indisponible;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée
31;Sabre-de-givre tacheté;Vendeur;vanilla;1.11.1;Facile;Darnassus;Sabre elfe de la nuit, réputation, Lelanai;0;;;;
32;Tigre;à définir;vanilla;Vanilla;Indisponible;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée;Supprimée
