"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"5695";"Ahn’Qiraj : le royaume Déchu";"Conservée";"Azeroth";"Kalimdor";"Ahn’Qiraj : le royaume Déchu";"continent:kalimdor";"region";"1";"Cataclysm";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Ahn’Qiraj : le royaume Déchu";"";"https://www.wowhead.com/fr/zone=5695"
"4821";"Havre Baille-Fonds";"Conservée";"Azeroth";"Kalimdor";"Azshara";"wowhead-zone:16";"subzone";"2";"Cataclysm";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Azshara > Havre Baille-Fonds";"Havre Baille-Fonds est rattaché à Azshara.";"https://www.wowhead.com/fr/zone=4821"
"16";"Azshara";"Conservée";"Azeroth";"Kalimdor";"Azshara";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Azshara";"";"https://www.wowhead.com/fr/zone=16"
"618";"Berceau-de-l’Hiver";"Conservée";"Azeroth";"Kalimdor";"Berceau-de-l’Hiver";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Berceau-de-l’Hiver";"";"https://www.wowhead.com/fr/zone=618"
"490";"Cratère d’Un’Goro";"Conservée";"Azeroth";"Kalimdor";"Cratère d’Un’Goro";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Cratère d’Un’Goro";"";"https://www.wowhead.com/fr/zone=490"
"405";"Désolace";"Conservée";"Azeroth";"Kalimdor";"Désolace";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Désolace";"";"https://www.wowhead.com/fr/zone=405"
"6453";"Îles de l’Écho";"Conservée";"Azeroth";"Kalimdor";"Durotar";"wowhead-zone:14";"subzone";"2";"Mists of Pandaria";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Durotar > Îles de l’Écho";"Îles de l'Écho est rattaché à Durotar.";"https://www.wowhead.com/fr/zone=6453"
"5166";"Faille de l’Ombre";"Conservée";"Azeroth";"Kalimdor";"Orgrimmar";"wowhead-zone:1637";"subzone";"3";"Cataclysm";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Durotar > Orgrimmar > Faille de l’Ombre";"Faille de l'Ombre est rattachée à Orgrimmar.";"https://www.wowhead.com/fr/zone=5166"
"1637";"Orgrimmar";"Conservée";"Azeroth";"Kalimdor";"Orgrimmar";"wowhead-zone:14";"region";"2";"Cataclysm";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Durotar > Orgrimmar";"Orgrimmar est rattachée à la région Durotar.";"https://www.wowhead.com/fr/zone=1637"
"6451";"Vallée des Épreuves";"Conservée";"Azeroth";"Kalimdor";"Durotar";"wowhead-zone:14";"subzone";"2";"Mists of Pandaria";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Durotar > Vallée des Épreuves";"Vallée des Épreuves est rattachée à Durotar.";"https://www.wowhead.com/fr/zone=6451"
"14";"Durotar";"Conservée";"Azeroth";"Kalimdor";"Durotar";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Durotar";"";"https://www.wowhead.com/fr/zone=14"
"357";"Féralas";"Conservée";"Azeroth";"Kalimdor";"Féralas";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Féralas";"";"https://www.wowhead.com/fr/zone=357"
"7634";"Féralas";"Conservée";"Azeroth";"Kalimdor";"Féralas";"continent:kalimdor";"region";"1";"Legion";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Féralas";"";"https://www.wowhead.com/fr/zone=7634"
"361";"Gangrebois";"Conservée";"Azeroth";"Kalimdor";"Gangrebois";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Gangrebois";"";"https://www.wowhead.com/fr/zone=361"
"3557";"L’Exodar";"Conservée";"Azeroth";"Kalimdor";"L’Exodar";"wowhead-zone:3524";"region";"2";"Vanilla";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Île de Brume-Azur > L’Exodar";"L'Exodar est une région à part entière située sur l'Île de Brume-Azur.";"https://www.wowhead.com/fr/zone=3557"
"6456";"Val d’Ammen";"Conservée";"Azeroth";"Kalimdor";"Île de Brume-Azur";"wowhead-zone:3524";"subzone";"2";"Mists of Pandaria";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Île de Brume-Azur > Val d’Ammen";"Val d'Ammen est rattaché à l'Île de Brume-Azur.";"https://www.wowhead.com/fr/zone=6456"
"3524";"Île de Brume-Azur";"Conservée";"Azeroth";"Kalimdor";"Île de Brume-Azur";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Île de Brume-Azur";"";"https://www.wowhead.com/fr/zone=3524"
"3525";"Île de Brume-Sang";"Conservée";"Azeroth";"Kalimdor";"Île de Brume-Sang";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Île de Brume-Sang";"";"https://www.wowhead.com/fr/zone=3525"
"457";"La mer Voilée";"Conservée";"Azeroth";"Kalimdor";"La mer Voilée";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > La mer Voilée";"";"https://www.wowhead.com/fr/zone=457"
"16668";"Les Hinterlands";"Conservée";"Azeroth";"Kalimdor";"Les Hinterlands";"continent:kalimdor";"region";"1";"Midnight";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Les Hinterlands";"";"https://www.wowhead.com/fr/zone=16668"
"406";"Les Serres-Rocheuses";"Conservée";"Azeroth";"Kalimdor";"Les Serres-Rocheuses";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Les Serres-Rocheuses";"";"https://www.wowhead.com/fr/zone=406"
"15";"Marécage d’Âprefange";"Conservée";"Azeroth";"Kalimdor";"Marécage d’Âprefange";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Marécage d’Âprefange";"";"https://www.wowhead.com/fr/zone=15"
"400";"Mille pointes";"Conservée";"Azeroth";"Kalimdor";"Mille pointes";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Mille pointes";"";"https://www.wowhead.com/fr/zone=400"
"5733";"Front du Magma";"Conservée";"Azeroth";"Kalimdor";"Mont Hyjal";"wowhead-zone:616";"subzone";"2";"Cataclysm";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Mont Hyjal > Front du Magma";"Front du Magma est rattaché au Mont Hyjal.";"https://www.wowhead.com/fr/zone=5733"
"8091";"Nordrassil";"Conservée";"Azeroth";"Kalimdor";"Mont Hyjal";"wowhead-zone:616";"subzone";"2";"Legion";"Acquisition d'Artefact";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Mont Hyjal > Nordrassil";"Nordrassil est rattaché au Mont Hyjal.";"https://www.wowhead.com/fr/zone=8091"
"616";"Mont Hyjal";"Conservée";"Azeroth";"Kalimdor";"Mont Hyjal";"continent:kalimdor";"region";"1";"Cataclysm";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Mont Hyjal";"";"https://www.wowhead.com/fr/zone=616"
"6452";"Camp Narache";"Conservée";"Azeroth";"Kalimdor";"Mulgore";"wowhead-zone:215";"subzone";"2";"Mists of Pandaria";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Mulgore > Camp Narache";"Camp Narache est rattaché à Mulgore.";"https://www.wowhead.com/fr/zone=6452"
"1638";"Les Pitons-du-Tonnerre";"Conservée";"Azeroth";"Kalimdor";"Les Pitons-du-Tonnerre";"wowhead-zone:215";"region";"2";"Vanilla";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Mulgore > Les Pitons-du-Tonnerre";"Les Pitons-du-Tonnerre est une région à part entière située dans Mulgore.";"https://www.wowhead.com/fr/zone=1638"
"215";"Mulgore";"Conservée";"Azeroth";"Kalimdor";"Mulgore";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Mulgore";"";"https://www.wowhead.com/fr/zone=215"
"331";"Orneval";"Conservée";"Azeroth";"Kalimdor";"Orneval";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Orneval";"";"https://www.wowhead.com/fr/zone=331"
"493";"Reflet-de-Lune";"Conservée";"Azeroth";"Kalimdor";"Reflet-de-Lune";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Reflet-de-Lune";"";"https://www.wowhead.com/fr/zone=493"
"9310";"Silithus : la Plaie";"Conservée";"Azeroth";"Kalimdor";"Silithus";"wowhead-zone:1377";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Silithus > Silithus : la Plaie";"Silithus : la Plaie est rattaché à Silithus.";"https://www.wowhead.com/fr/zone=9310"
"1377";"Silithus";"Conservée";"Azeroth";"Kalimdor";"Silithus";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Silithus";"";"https://www.wowhead.com/fr/zone=1377"
"148";"Sombrivage";"Conservée";"Azeroth";"Kalimdor";"Sombrivage";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Sombrivage";"";"https://www.wowhead.com/fr/zone=148"
"440";"Tanaris";"Conservée";"Azeroth";"Kalimdor";"Tanaris";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Tanaris";"";"https://www.wowhead.com/fr/zone=440"
"17";"Tarides du Nord";"Conservée";"Azeroth";"Kalimdor";"Tarides du Nord";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Tarides du Nord";"";"https://www.wowhead.com/fr/zone=17"
"4709";"Tarides du Sud";"Conservée";"Azeroth";"Kalimdor";"Tarides du Sud";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Tarides du Sud";"";"https://www.wowhead.com/fr/zone=4709"
"1657";"Darnassus";"Conservée";"Azeroth";"Kalimdor";"Darnassus";"wowhead-zone:141";"region";"2";"Vanilla";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Teldrassil > Darnassus";"Darnassus est une région à part entière située dans Teldrassil.";"https://www.wowhead.com/fr/zone=1657"
"6450";"Sombrevallon";"Conservée";"Azeroth";"Kalimdor";"Teldrassil";"wowhead-zone:141";"subzone";"2";"Mists of Pandaria";"Zone";"reviewed";"user_manual_rule";"Azeroth > Kalimdor > Teldrassil > Sombrevallon";"Sombrevallon est rattaché à Teldrassil.";"https://www.wowhead.com/fr/zone=6450"
"141";"Teldrassil";"Conservée";"Azeroth";"Kalimdor";"Teldrassil";"continent:kalimdor";"region";"1";"Vanilla";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Teldrassil";"";"https://www.wowhead.com/fr/zone=141"
"5034";"Uldum";"Conservée";"Azeroth";"Kalimdor";"Uldum";"continent:kalimdor";"region";"1";"Cataclysm";"Zone";"reviewed";"user_default_region";"Azeroth > Kalimdor > Uldum";"";"https://www.wowhead.com/fr/zone=5034"
"8093";"La cime du Vortex";"Conservée";"Azeroth";"Le Maelström";"Le Maelström";"wowhead-zone:5416";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_rule";"Azeroth > Le Maelström > Le Maelström > La cime du Vortex";"La cime du Vortex est déplacée sous Le Maelström.";"https://www.wowhead.com/fr/zone=8093"
"11382";"8.2.5 War Campaign";"Supprimée";"Azeroth";"Kalimdor";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_rule";"";"Entrée technique 8.2.5 War Campaign.";"https://www.wowhead.com/fr/zone=11382"
"9704";"Allied - Mag'har Orc Unlock";"Supprimée";"Azeroth";"Kalimdor";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_rule";"";"Entrée technique Allied - Mag'har Orc Unlock.";"https://www.wowhead.com/fr/zone=9704"
"10625";"Durotar";"Supprimée";"Azeroth";"Kalimdor";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_rule";"";"Doublon Battle for Azeroth de la région Durotar (Vanilla).";"https://www.wowhead.com/fr/zone=10625"
"876";"Île des MJ";"Supprimée";"Azeroth";"Kalimdor";"";"";"";"";"Vanilla";"Zone";"excluded";"user_manual_rule";"";"Île des MJ supprimée du référentiel public.";"https://www.wowhead.com/fr/zone=876"
"10397";"Mulgore";"Supprimée";"Azeroth";"Kalimdor";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_rule";"";"Doublon Battle for Azeroth de la région Mulgore (Vanilla).";"https://www.wowhead.com/fr/zone=10397"
